Site,250m_16_days_EVI-0,250m_16_days_NDVI-0,Fpar_500m-0,Lai_500m-0,LST_Day_1km-0,LST_Night_1km-0,250m_16_days_EVI-1,250m_16_days_NDVI-1,Fpar_500m-1,Lai_500m-1,LST_Day_1km-1,LST_Night_1km-1,250m_16_days_EVI-2,250m_16_days_NDVI-2,Fpar_500m-2,Lai_500m-2,LST_Day_1km-2,LST_Night_1km-2,LATITUDE,LONGITUDE,FIRE_SIZE,FIRE_SIZE_CLASS,DATE,_classes
GBC12,-0.03857429,-0.079240677,-0.062619999,-0.170486731,7.762165151,0.716750374,-0.046433264,-0.09030841,-0.061263181,-0.149857582,4.466901424,-0.729882325,-0.044909643,-0.090727218,-0.085697122,-0.213079901,10.10184302,0.350397761,40.13335555,-117.1321126,98,2,9/9/2020,0
NWG22,0.106435449,0.232214294,0.324467979,1.593553661,-5.758006912,2.727359623,0.114201604,0.272386721,0.332599434,1.621837924,-5.497287238,2.482838985,0.112176005,0.266879293,0.328476452,1.656348231,-6.132206818,2.823078801,45.92707556,-121.9799145,24995,4,9/8/2020,1
NWL18,-0.155598808,-0.291419429,-0.259243645,-0.691362595,-2.145574603,-0.362872555,-0.155598808,-0.291419429,-0.259243645,-0.691362595,-2.663781711,-1.028685468,-0.155598808,-0.291419429,-0.259243645,-0.691362595,-1.547393357,-0.766040247,42.21254,-122.71502,3200,4,9/8/2020,1
NWG12,-0.012384168,-0.050140833,-0.103105022,-0.38004358,7.40886821,2.239065545,-0.034086167,-0.085749019,-0.150132197,-0.48015338,7.323233111,1.101730935,-0.02807804,-0.067784485,-0.139574766,-0.480061078,8.764999325,1.788825435,46.63344595,-118.568714,22000,4,9/7/2020,1
NWG5,0.010328517,0.001388973,0.138444667,0.327510055,-1.827857916,1.734645862,0.011050394,0.012363535,0.139523264,0.340800363,-2.468970881,1.079295405,0.021391858,0.03756038,0.188101282,0.467768535,-2.051534703,1.471614166,48.33161611,-118.1985144,19005,4,9/7/2020,1
NWG55,-0.074674055,-0.140010279,-0.083722444,-0.318153543,3.747865302,-0.423010812,-0.080367486,-0.146179214,-0.106349358,-0.38715126,2.364231481,-0.853587573,-0.062220833,-0.107134779,-0.061044013,-0.283153752,3.55982816,-0.027571977,47.70723606,-118.2603142,127430,4,9/7/2020,1
NWG62,-0.101247839,-0.191083724,-0.130524332,-0.44244116,3.367364267,0.264732417,-0.100187984,-0.180430497,-0.130939035,-0.444779769,2.774992722,0.234594207,-0.088476649,-0.147004396,-0.118559169,-0.435436874,5.001499378,0.831580336,48.05583,-119.4843,223731,4,9/7/2020,1
NWG60,-0.079896106,-0.156920266,-0.098417577,-0.378604125,2.838008776,1.769284778,-0.080341043,-0.15023445,-0.092254195,-0.373150737,2.572170392,1.143971077,-0.06704144,-0.119460305,-0.078567203,-0.355201387,4.365999101,2.04549134,48.36019597,-119.4927146,189923,4,9/6/2020,1
RMG62,-0.070587365,-0.124654258,-0.126820447,-0.306737254,0.795210636,-3.325784298,-0.081687546,-0.14389599,-0.104769286,-0.257205597,-4.947585018,-4.528228379,-0.08493388,-0.149140682,-0.118230708,-0.292686945,-2.146195983,-3.65557589,41.83110657,-106.6440108,14201,4,9/5/2020,1
SOG9,-0.043562947,-0.07330776,-0.204793155,-0.937083172,10.97697815,4.39338214,-0.041571632,-0.061645686,-0.203230359,-0.90825216,7.851873588,3.227362764,-0.0325374,-0.045335676,-0.169565863,-0.836269647,8.119633022,3.630100297,32.76138479,-116.6944618,16390,4,9/5/2020,1
SWS39,-0.070943267,-0.159834578,-0.166172537,-0.524315515,6.087852623,0.539734521,-0.067448687,-0.150757034,-0.152724983,-0.482296388,3.975428441,-0.61903087,-0.077623978,-0.166382276,-0.19209682,-0.562558638,7.059233154,-0.061720743,34.711,-105.1405,278,3,9/5/2020,0
NRG12,-0.010637389,-0.053099886,-0.118026588,-0.394205489,1.403896788,-1.117504889,-0.001785748,-0.027134267,-0.115609699,-0.393843482,0.101631499,-1.252871621,-0.001642749,-0.027534688,-0.129599362,-0.449387059,4.129660241,0.353838402,45.88416707,-106.2613113,34527.4,4,9/2/2020,1
NRG20,-0.105955056,-0.201484061,-0.159762822,-0.499822227,0.668261674,-3.508328724,-0.096456594,-0.178411466,-0.163131283,-0.511191158,-0.090721756,-2.962647082,-0.08371623,-0.155940761,-0.14759801,-0.482230663,1.601019283,-1.654702177,47.37986717,-106.9154118,46892.4,4,9/2/2020,1
